Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
"[u' UG-4, Singhal Square, Near Tej Nagar Crossing, Kamla Nagar, Agra']",Rs. 600,"Bakery, Continental", , 11am 11pm Mon Wed Th Fri Sat Sn  11am    ,[u'Kamla Nagar'],"3.8-(68),4.2-(842)",Kings,[u'Quick Bites']
"[u' 41/1, Tota Ka Taal, Lohamandi, Agra']",Rs. 300,"Fast Food, Bakery", , 9am 10pm Mon Sn  ,[u'Lohamandi'],"4.0-(1,110 Reviews),---",VaishnoBakery,"[u'Quick Bites,Bakery']"
"[u' Shaheed Nagar, Tajganj, Agra']",Rs. 500,"Biryani, Mughlai, Kebab", , 9am 12midnight Mon Sn  ,[u'Tajganj'],"4.0-(117 Reviews),---",Aleem,[u'Quick Bites']
"[u' Ground Floor, Maa Vaishnav Complex, 80ft Road, Opposite Bhawna Estate Gate, Sikandra, Agra']",Rs. 200,Fast Food, , 1pm 11pm Mon Wed Th Fri Sat Sn  Closed    ,[u'Sikandra'],"3.8-(86),4.0-(1,500)",HungrillCafeRestaurant,[u'Quick Bites']
"[u' Hotel Amar, Tourist Complex Area, Fatehabad Road, Tajganj, Agra']",Rs. 900,"North Indian, Chinese, Continental, South Indian",Best Bars and Pubs  All Day Dining, 6am 11pm Mon Sn  ,"[u'Hotel Amar, Tajganj']","3.3-(68),4.1-(403)",HotelAmarNoorjahanRestaurant,"[u'Casual Dining,Bar']"
"[u' Opposite Soami Bagh Temple, Dayal Bagh, Agra']",Rs. 400,"North Indian, Chinese", , 10:30am 10:30pm Mon Sn  ,[u'Dayal Bagh'],"3.7-(91),3.9-(2,532)",NeelamRestaurant,[u'Dhaba']
"[u' D-501, Kamla Nagar, Agra']",Rs. 100,"Desserts, Mithai", , 7am 11pm Mon Sn  ,[u'Kamla Nagar'],"3.5-(65),4.3-(949)",SriDaujiRestaurant,[u'Dessert Parlor']
"[u' Shop 103, Ground Floor, Block No. 43/2 Sanjay Place, Agra']",Rs. 400,North Indian, , 12:30pm 10:30pm Mon Sn  ,[u'Civil Lines'],"3.9-(95),4.1-(106)",AwadhiFoods,[u'Quick Bites']
"[u' 8/74, Hing Ki Mandi, Mantola, Agra']",Rs. 200,Fast Food, , 11am 11pm Mon Sn  ,[u'Mantola'],"3.9-(73),4.5-(402)",PapeKaDhabha,[u'Quick Bites']
"[u' Shop 4 Shiv Market, 100 Feet Road, Dayal Bagh, Agra']",Rs. 300,"Wraps, Burger, Fast Food",                                                                                           20  off on all orders above  149                                          , 10am 10:30pm Mon Sn  ,[u'Dayal Bagh'],"3.9-(83),3.7-(751)",DaddysBurgerBar,[u'Quick Bites']
"[u' Plot 1374 & 1375, Dinesh Nagar,\n Near ITC Mughal Hotel Fatehabad, Tajganj, Agra']",Rs. 800,"Chinese, Seafood", ,   20 offonallordersabove 499  ,[u'Tajganj'],"3.3-(58),3.8-(168)",GoldenChinaRestaurant,[u'Casual Dining']
"[u' Tajmahal South Gate, Kutta Park, Tajganj, Agra']",Rs. 400,North Indian, , 8am 12midnight Mon Sn  ,[u'Tajganj'],"3.7-(56),3.4-(776)",LovelyRestaurant,[u'Quick Bites']
"[u' TP Nagar, ISBT, Sikandra, Agra']",Rs. 200,North Indian, , 10am 10pm Mon Sn  ,[u'Sikandra'],"2.6-(61),3.6-(2,422)",ShivaBhojhnalaya,[u'Quick Bites']
"[u' Opposite Sanjay Cinema, Mahatma Gandhi Road, Wazirpura Road, Sanjay Palace, Civil Lines, Agra']",Rs. 300,"Bakery, Desserts, Fast Food", , 10am 11pm Mon Sn  ,[u'Civil Lines'],"3.6-(52),4.1-(1,383)",EuropeanBakery,[u'Bakery']
