,restaurantID,Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
26,3400304,"[u' Khandari Crossing, Civil Lines, Agra']",Rs. 250,"Fast Food, Burger, Pizza, Rolls, Bakery",-, 10:30am 10pm Mon Sn  ,[u'Civil Lines'],"4.0-(11.1K Reviews),---",TheBigBun,"[u'Quick Bites,Dessert Parlor']"
27,3400908,"[u' Opposite Axis Imaging Centre, Near Hanuman Mandir, Khandari Road, Surya Nagar, Civil Lines, Agra']",Rs. 400,"North Indian, Chinese, Rolls",-, 2pm 11:30pm Mon Sn  ,[u'Civil Lines'],"4.0-(410),3.9-(9,066)",WhatTheFood,[u'Quick Bites']
28,3400430,"[u' D-501, Kamla Nagar, Agra']",Rs. 350,Bakery,-, 11am 10pm Mon Sn  ,[u'Kamla Nagar'],"4.2-(2,987 Reviews),---",RohitCakesAndBakes,[u'Bakery']
29,3400158,"[u' Deepshikha Building, Ground floor, Near Sanjay Cinema, Wazirpura Rd, Sanjay Place, Civil Lines, Agra, Uttar Pradesh 282002']","Rs. 1,000","Bakery, Fast Food",Sweet Tooth, 8:30am 5:30pm Mon Sat  Closed Sn  ,[u'Civil Lines'],"4.3-(334),4.5-(2,325)",MKOP,"[u'Dessert Parlor,Quick Bites']"
30,3400130,"[u' 1/43, Johari Bazar, Subhash Bazar,Agra, Uttar Pradesh']",Rs. 200,"South Indian, Chinese",-, 11am 10pm Mon Sn  ,[u'Mantola'],"4.4-(649 Reviews),---",ManojRestaurant,[u'Quick Bites']
31,3400025,"[u' E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra']",Rs. 850,"North Indian, Mughlai, Rolls",-, 12noon 12midnight Mon Wed Th Fri Sat    ,[u'Agra Cantt'],"3.9-(421),3.3-(2,273)",Jahanpanah,[u'Casual Dining']
32,3401344,"[u' 76, 2nd floor, Fatehabad Road, Near Amar Hotel, Tajganj, Agra']","Rs. 1,500","North Indian, Chinese, Continental, Italian, Pizza, Desserts","Must Visit Restaurants In Agra, Rooftops, Wah Taj!, Best Indian Restaurants, Best Bars and Pubs", 12noon 11:55pm Mon Sn  ,[u'Tajganj'],"4.3-(419),4.4-(252)",CafeTurquoiseCottage,"[u'Casual Dining,Bar']"
33,3400628,"[u' 23-24, Pushpanjali Commercial Complex, Sikandra-Bodla Road, Suruchipuram Colony, Sikandra, Agra']",Rs. 200,"Mithai, Fast Food, Street Food, North Indian",-, 8am 10pm Mon Sn  ,[u'Sikandra'],"4.2-(394),4.0-(11.6K)",DeviramFoodCircle,"[u'Sweet Shop,Quick Bites']"
34,3400838,"[u' 1374 K/1375 K, Ground Floor, Dinesh Nagar, Fatehabad Road, Tajganj, Agra']","Rs. 1,000","Cafe, Chinese, Continental, Italian, Bakery, Desserts","Wah Taj!, Sweet Tooth, Must Visit Restaurants In Agra, Great Food, No Bull, Trending This Week", 8am 8:30pm Mon Sn  ,[u'Tajganj'],"4.7-(346),3.9-(2,330)",SugarNThyme,[u'Caf\xe9']
35,3400346,"[u' R.K.Puram Phase 2, Tajnagri, Agra']",Rs. 200,"Cafe, North Indian, Chinese","Great Food, No Bull", 10am 9pm Mon Sn  ,[u'Tajganj'],"4.7-(270),3.3-(76)",SheroesHangout,[u'Caf\xe9']
36,18895858,"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 150,North Indian,-, 12noon 1am Mon Sn  ,[u'Civil Lines'],"4.0-(309),4.2-(16.7K)",GuruKripaYadavDhaba,[u'Dhaba']
37,3400391,"[u' 1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra']","Rs. 1,000","Cafe, Italian, Mexican, North Indian, Continental, Desserts","Rooftops, Wah Taj!, Must Visit Restaurants In Agra, Best Indian Restaurants, Best Bars and Pubs, Trending This Week", 11am 11pm Mon Sn  ,[u'Tajganj'],"4.1-(310),3.4-(167)",Chapter1Cafe,"[u'Casual Dining,Bar']"
38,3400853,"[u' 1448 - 1453 tajganj, Fatehabad Road, Tajganj Agra']","Rs. 1,500","Cafe, Italian, Chinese, Continental, North Indian","Great Food, No Bull", 11am 12midnight Mon Sn  ,[u'Tajganj'],"4.5-(459),3.2-(138)",Mocha,[u'Caf\xe9']
39,3400278,"[u' G 26 114//2, Deep Shikha Tower, Sanjay Place, Civil Lines, Agra']",Rs. 400,"Bakery, Desserts, Sandwich, Burger, Pizza, Fast Food",Sweet Tooth, 11am 11pm Mon Sn  ,[u'Civil Lines'],"4.0-(248),4.3-(5,546)",AtlanticFoods,"[u'Dessert Parlor,Quick Bites']"
40,3400131,"[u' 110, Jaipur House Market, Opposite Commercial Tax Office, Jaipur House Colony, Lohmandi, Shahganj, Agra']",Rs. 500,"North Indian, South Indian","Great Food, No Bull", 10am 11pm Mon Sn  ,[u'Shahganj'],"4.5-(405),4.1-(4,671)",JainRestaurant,[u'Quick Bites']
41,3400392,"[u' 29/A/2, Fatehabad Road, Tajganj, Agra']",Rs. 700,"North Indian, Fast Food",All-Day Dining, 8am 11pm Mon Sn  ,[u'Tajganj'],"4.1-(334),4.1-(413)",Thaaliwala,[u'Casual Dining']
42,3400840,"[u' Shop 37, Ground Floor, Omaxe SRK Mall, NH 2, Near Bhagwan Talkies, Khandari, Agra']",Rs. 500,"Fast Food, Healthy Food, Sandwich, Salad",-, 24Hors Mon Sn  ,[u'Khandari'],"4.2-(462),4.1-(11.7K)",Subway,[u'Quick Bites']
43,18888066,"[u' Floor 2, 119/8, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra']",Rs. 700,"North Indian, Continental, Chinese","Great Food, No Bull", 12noon 12midnight Mon Sn  ,[u'Civil Lines'],"4.5-(474 Reviews),---",KiskeyWhiskey,"[u'Bar,Casual Dining']"
44,3401310,"[u' Paschim Puri, Sulabh Puram Colony, Sikandra, Agra']",Rs. 400,"Biryani, North Indian, Mughlai, Awadhi, Beverages",-, 11am 11pm Mon Sn  ,[u'Sikandra'],"4.0-(347),3.8-(11.7K)",ShreeBalajiFamilyRestaurant,[u'Quick Bites']
45,3400015,"[u' 2022, Basai Mustquil, Near TDI Mall, Fatehabad Road, Tajganj, Agra']",Rs. 450,"Burger, Fast Food, Finger Food, Beverages",-, 11am 11pm Mon Sn  ,[u'Tajganj'],"4.1-(345),4.0-(2,466)",KFC,[u'Quick Bites']
46,3401781,"[u' Anjali Puram, Avadh Puri, Shahganj, Agra']",Rs. 300,"North Indian, Beverages, South Indian, Fast Food, Pizza",-, 8am 10pm Mon Sn  ,[u'Shahganj'],"4.1-(266),4.2-(12.9K)",AgarwalRestaurantSweetsAndDairy,[u'Quick Bites']
47,3400059,"[u' ITC Mughal, Fatehabad Road, Tajganj, Agra']","Rs. 6,000","North Indian, Mughlai","Luxury Dining, Great Food, No Bull", 12:30pm 2:45pm 7pm 11:45pm Mon Sn  ,"[u'ITC Mughal, Tajganj']","4.6-(378 Reviews),---",PeshawriITCMughal,[u'Fine Dining']
48,3400301,"[u' Avas Vikas Colony, Kamla Nagar, Agra']",Rs. 350,South Indian,-, 12noon 11pm Mon Sn  ,[u'Kamla Nagar'],"4.3-(334),4.3-(5,138)",AnantRestaurant,[u'Casual Dining']
49,3400263,"[u' 6/127, Belanganj Rd, Nala Bharon, Gopal Bazar, Belanganj, Civil Lines, Agra, Uttar Pradesh 282004']",Rs. 600,North Indian,-, 10am 11pm Mon Sn  ,[u'Civil Lines'],"4.1-(420 Reviews),---",RambabuParanthaBhandar,[u'Casual Dining']
50,3401796,"[u' 79, Dhruv Guest House, Mathura Road, Sikandra, Agra']",Rs. 200,North Indian,-, 8am 12midnight Mon Sn  ,[u'Sikandra'],"4.4-(352),4.2-(5,211)",BhagwatiDhaba,[u'Dhaba']
51,3400174,"[u' Shop 5, NH2, Sikandra, Agra']",Rs. 700,Fast Food,Great Breakfasts, 11am 10:45pm Mon Sn  ,[u'Sikandra'],"3.7-(308),4.0-(629)",RamBabuParatheWale,[u'Casual Dining']
52,3401847,"[u' 17/8, Phulati Bazar, Mantola, Agra']",Rs. 200,"Mithai, Fast Food",-, 8am 10:45pm Mon Sn  ,[u'Mantola'],"4.3-(223),4.3-(9,700)",PushpakMisthanBhandarandSweet,[u'Sweet Shop']
53,3401556,"[u' 51/10 G, Near Chahar Hospital, South Arjun Nagar, Agra']",Rs. 750,"Pizza, Beverages",-, 9am 12midnight Mon Sn  ,[u'Arjun Nagar'],"4.0-(197),4.2-(5,676)",UltimatePizza,[u'Quick Bites']
54,3400382,"[u' 21/143, Lakshmi Kunj, Shivaji Nagar, Shahganj, Agra']",Rs. 300,Fast Food,-, 5:30pm 10:30pm Mon Sn  ,[u'Shahganj'],"3.7-(465 Reviews),---",Gurgaonwala,[u'Quick Bites']
55,3401243,"[u' 17, Pushpanjali Complex, Shastri Puram Road, Near Kargil Petrol Pump, Suruchipuram Colony, Lohamandi, Sikandra Agra']",Rs. 300,"Fast Food, Bakery",-, 10am 11pm Mon Sn  ,[u'Sikandra'],"4.1-(7,389 Reviews),---",CampusBakers,[u'Quick Bites']
56,3400348,"[u' 3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra']",Rs. 900,"Rajasthani, Gujarati, Mughlai",Best Indian Restaurants, 11:30am 3pm 7pm 11pm Mon Sn  ,[u'Khandari'],"3.9-(311),4.1-(3,852)",GThal,[u'Casual Dining']
57,18977166,"[u' Near Sultanganj Ki Pulia, Kamla Nagar, Agra']",Rs. 200,North Indian,-, 9am 1am Mon Sn  ,[u'Kamla Nagar'],"3.6-(165),3.7-(5,609)",BhagwatiDhabaThali,[u'Quick Bites']
58,3400685,"[u' Shop 10/11, Shopping Arcade, Sadar Bazar, Agra Cantt, Agra']",Rs. 450,North Indian,-, 11am 11pm Mon Sn  ,[u'Agra Cantt'],"4.0-(249),4.1-(7,370)",ShanEHind,[u'Casual Dining']
59,3400934,"[u' Freedom Plaza, 10B, Karkunj Road, Avas Vikas Colony, Sikandra, Agra, Uttar Pradesh 282007']",Rs. 300,"Mithai, Street Food, South Indian, Chinese",-, 8am 10:30pm Mon Sn  ,[u'Sikandra'],"4.2-(248),4.4-(12K)",ShreeBankeyBihariMisthanBhandar,"[u'Sweet Shop,Quick Bites']"
60,3400737,"[u' G-14-13 Friends Wasan Plaza, Behind Hotel Holiday Inn, Sanjay Place']",Rs. 800,"Chinese, Thai",                                                                                           10  off on all orders above  800                                          , 12:30pm 11pm Mon Wed Th Fri Sat Sn     ,[u'Civil Lines'],"4.1-(255),4.2-(1,664)",Bercos,[u'Casual Dining']
61,3400385,"[u' 6, M.I.G,, New Shahganj Rd, Kothi Meena Bazaar, Shahganj, Agra']",Rs. 200,"North Indian, Desserts", , 8am 11pm Mon Sn  ,[u'Shahganj'],"3.9-(304),4.1-(1,757)",SattolalaFoodCourt,"[u'Quick Bites,Sweet Shop']"
62,3401309,"[u' Shri Ram Complex, MK Puram, Sikandra, AGra']",Rs. 400,"North Indian, Fast Food, South Indian", , 11am 11pm Mon Sn  ,[u'Sikandra'],"4.1-(335),3.9-(7,970)",PariFamilyRestaurant,[u'Quick Bites']
63,3400967,[u' Khandari Rd'],Rs. 400,Street Food, , 5pm 11pm Mon Wed Th Fri Sat Sn  3pm     ,[u'Khandari'],"3.9-(5,389 Reviews),---",Fruck,[u'Food Truck']
64,3400325,"[u' Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra']","Rs. 2,000","Italian, North Indian, Fast Food, Continental, Beverages, Asian",Luxury Dining  Wah Taj   All Day Dining  Great Food  No Bull  Trending This Week, 6:30am 11pm Mon Sn  ,"[u'Courtyard by Marriott Agra, Tajganj']","4.5-(214 Reviews),---",MoMoCafeCourtyardByMarriott,"[u'Fine Dining,Bar']"
65,3400319,"[u' Chaat Gali, Sadar Bazar, Tajganj, Agra']",Rs. 150,Street Food, , 2pm 11pm Mon Sn  ,[u'Tajganj'],"4.1-(3,324 Reviews),---",AgraChatHouse,[u'Quick Bites']
66,19060078,"[u' Shop 23/453, Above Pinch Of Spice, K-3 Market, Wazirpura Road, Sanjay Palace, Civil Lines, Agra']",Rs. 250,"Rolls, Fast Food", , 11am 11pm Mon Sn  ,[u'Civil Lines'],"4.3-(232),4.2-(5,776)",RollsNation,[u'Quick Bites']
67,3400023,"[u' 86, Bhagwan Talkies Crossing, Bypass Road, NH 2, Khandari, Agra']",Rs. 700,"North Indian, South Indian", , 12noon 11pm Mon Sn  ,[u'Khandari'],"4.3-(331),4.5-(1,562)",Achman,[u'Quick Bites']
68,3400338,"[u' India House, Near A1 Hospital, Nehru Nagar, Khandari, Agra']",Rs. 600,"South Indian, North Indian, Chinese", , 4pm 7pm Mon Sn  ,[u'Khandari'],"4.2-(244),4.3-(1,302)",UdupiBrindavan,[u'Casual Dining']
69,18690442,"[u' Pratik Centre, Behind ICICI Bank, Sanjay Place, Civil Lines, Agra']",Rs. 450,"Beverages, Burger, Fast Food, Pizza, Sandwich, Wraps",                                                                                           20  off on all orders above  149                                          , 10:15am 10pm Mon Sn  ,[u'Civil Lines'],"3.9-(212),4.1-(3,594)",HungernomiaDaddysBurgerBar,[u'Quick Bites']
70,3400029,"[u' Shop no.6-7,upadhyay market,hari parvat,agra,uttar pradesh']",Rs. 850,"North Indian, Mughlai", , 12noon 11:30pm Mon Sn  ,[u'Civil Lines'],"3.8-(253),3.9-(1,454)",CapriRestaurant,[u'Casual Dining']
71,3401296,"[u' Near Bodla Sabzi Mandi, Sector 1, Avas Vikas Mraket, Bodla, Sikandra, Agra']",Rs. 300,"North Indian, Fast Food",                                                                                           30  off on all orders above  499                                          , 1pm 11pm Mon Te Th Sat Sn  1pm     ,[u'Sikandra'],"4.0-(228),4.2-(5,662)",ShriTirupatiNo1FamilyRestaurant,[u'Quick Bites']
72,3401276,"[u' D-557, Near PNB Bank, Kamla Nagar, Agra']",Rs. 600,"Cafe, Italian, Fast Food, Chinese", , 1pm 11pm Mon Sn  ,[u'Kamla Nagar'],"4.1-(277),3.7-(1,942)",TheMasterchefRestaurant,"[u'Caf\xe9,Casual Dining']"
73,3401239,"[u' Shreenath Ji Complex, Ratan Muni Road, Tota Ka Taal, Billochpura, Lohamandi, Agra']",Rs. 200,"Mithai, Desserts", , 7am 10pm Mon Sn  ,[u'Civil Lines'],"4.0-(7,347 Reviews),---",BhawnaSweets,[u'Sweet Shop']
74,3401749,"[u' 13/ 29, Kui Ki Mandi Shahganj, Agra']",Rs. 300,"Bakery, Fast Food", , 8am 12midnight Mon Sn  ,[u'Shahganj'],"4.0-(139),4.2-(4,519)",GoverdhanBakery,[u'Bakery']
75,18961610,"[u' Rajeev Plaza, M.g. Road, Opposite Shah Market, Civil Lines, Agra']",Rs. 400,"Mithai, Street Food", , 8:30am 10pm Mon Sn  ,[u'Civil Lines'],"4.2-(187),4.6-(8,702)",GopaldasPetheWale,"[u'Sweet Shop,Quick Bites']"
76,3400780,"[u' Fatehabad Road, Tajganj, Agra']","Rs. 1,500",Cafe, , 1pm 11:30pm Mon Th  1pm 12:30am Fri Sn  ,[u'Tajganj'],"3.8-(217),3.6-(49)",GreyHouseCafe,"[u'Caf\xe9,Lounge']"
77,3401095,"[u' Pani Ki Tanki Road, Balkeshwar Colony, Kamla Nagar, Agra']",Rs. 600,"North Indian, Chinese, South Indian, Fast Food, Beverages", , 11am 11pm Mon Sn  ,[u'Kamla Nagar'],"3.9-(180),4.0-(3,135)",FamilyZaikaRestroLounge,[u'Casual Dining']
78,3400811,"[u' 8B P31A Khasra No. 824/1 Mauja Mau Byepass Khandari Crossing, Agra,nagar nigam food safety zone 04,agra,282005']",Rs. 400,Fast Food, , 12noon 2am Mon Sn  ,[u'Khandari'],"3.6-(223),3.7-(4,420)",MasterChefItalianFastFoodCorner,[u'Quick Bites']
79,3400350,"[u' Parador Hotel, 3A-3B, Phase 1, Fatehabad Road, Taj Nagri, Tajganj, Agra']","Rs. 1,500","North Indian, Chinese, Continental", , 12noon 3:30pm 6:30pm 11pm Mon Sn  ,[u'Tajganj'],"4.1-(203 Reviews),---",BonBarbecue,[u'Casual Dining']
80,3400024,"[u' B 87, Central Bank Road, Kamla Nagar, Agra']","Rs. 1,000","North Indian, Chinese, Fast Food", , 11am 12midnight Mon Sn  ,[u'Kamla Nagar'],"4.1-(348 Reviews),---",Temptation,[u'Casual Dining']
81,3400345,"[u' G2, Specific Mall, Sector -13, Karkunj Road, Sikandra, Agra']",Rs. 150,"Street Food, Beverages", , 11am 10:30pm Mon Sn  ,[u'Sikandra'],"4.2-(248),4.4-(3,187)",GoliVadaPavNo1,[u'Quick Bites']
82,3400652,"[u' Pani Ki Tanki Road, Balkeshwar Colony, Kamla Nagar, Agra']",Rs. 150,Street Food, , 1pm 11pm Mon Sn  ,[u'Kamla Nagar'],"4.1-(246),4.1-(7,136)",ChaatChowpaati,[u'Quick Bites']
83,18691803,"[u' Adjoining to Bhagat Halwai, M G Road 2, Near Easy Day Market, Shahganj, Agra']",Rs. 700,"Mughlai, North Indian", , 12noon 11pm Mon Wed Th Fri Sat Sn     ,[u'Shahganj'],"4.1-(2,042 Reviews),---",IndianChickenExpress,[u'Quick Bites']
84,3400067,"[u' 116, Saudagar Lines Road, Sadar Bazaar, Idgah Colony, Agra Cantt, Agra']",Rs. 500,North Indian, , 11am 10:15am Mon Sn  ,[u'Agra Cantt'],"4.1-(255),4.2-(1,101)",OmBhojanalaya,[u'Casual Dining']
85,3401196,"[u' 61, Jaipur House Market, Opposite Jwala Theatre, Shahganj, Agra']",Rs. 600,"Cafe, North Indian, Chinese, Italian, Continental, Finger Food, Fast Food, Beverages", , 12noon 12midnight Mon Wed Th Fri Sat    ,[u'Shahganj'],"4.0-(236),3.7-(2,441)",SocialAttitude,[u'Caf\xe9']
86,3400230,"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 300,North Indian, , 12midnight 5:59am 6am 12midnight    ,[u'Civil Lines'],"4.0-(179),4.3-(4,096)",AnandHeAnandBhojanalaya,[u'Casual Dining']
87,19183764,"[u' Plot 7, 8, Rana Market, Below Easyday, Saket Colony Road, Shahganj, Agra']",Rs. 200,Pizza, , 11am 11pm Mon Sn  ,[u'Shahganj'],"4.1-(216),4.4-(4,931)",NewPizzaKing,[u'Quick Bites']
88,3401687,"[u' Opposite ISBT, Transport Nagar, Sikandra, Agra']",Rs. 200,North Indian, , 8am 1am Mon Sn  ,[u'Sikandra'],"4.2-(287),4.0-(4,693)",JainBhojnalaya,[u'Bhojanalya']
89,18966639,"[u' Sector 16 B, Near Gurudwara Flyover, Kar Kunj Chauraha, Avas Vikas Colony, Lohamandi, Near Sikandra, Agra']","Rs. 1,000","North Indian, Chinese, Continental, Fast Food",Wah Taj   Rooftops  Best Bars and Pubs, 2pm 12:30am Mon Sn  ,[u'Sikandra'],"4.0-(207),3.9-(129)",Fakira,"[u'Casual Dining,Bar']"
90,3400328,"[u' G-5/32, Opposite LIC Building, Sanjay Place, Civil Lines, Agra']",Rs. 600,Chinese,, 12:30pm 10:30pm Mon Th  12:30pm 10:45pm    ,[u'Civil Lines'],"4.1-(266),3.9-(1,886)",Chopstix,[u'Quick Bites']
91,3401582,"[u' Shop G-11, 12 & 13, Block 34/2, Opposite LIC Building, Civil Lines, Agra']",Rs. 200,"Tea, Fast Food",GreatFoodNoBull, 9am 11pm Mon Sn  ,[u'Civil Lines'],"4.5-(173),4.3-(1,445)",Chainess,[u'Quick Bites']
92,3401859,"[u' Balkeshwar, Mahadev Mandir Road, Near The Park, Kamla Nagar, Agra']",Rs. 300,North Indian,, 6pm 11pm Mon Sn  ,[u'Kamla Nagar'],"3.8-(7,792 Reviews),---",GuruKripaBhojnalaya,[u'Quick Bites']
